LOCATIONID,LOCATIONNAME,LATITUDE,LONGITUDE,TIME,DAY1,DAY2,DAY3
ForecastTime1,ForecastTime1,,,00-03UT,4.33,3.67,2.33
ForecastTime2,ForecastTime2,,,03-06UT,4.33,3.00,2.00
ForecastTime3,ForecastTime3,,,06-09UT,4.67,2.67,2.00
ForecastTime4,ForecastTime4,,,09-12UT,3.67,2.67,2.00
ForecastTime5,ForecastTime5,,,12-15UT,2.67,2.67,2.00
ForecastTime6,ForecastTime6,,,15-18UT,2.67,2.00,2.00
ForecastTime7,ForecastTime7,,,18-21UT,3.33,2.00,2.00
ForecastTime8,ForecastTime8,,,21-00UT,3.67,2.67,2.33
Date,Date,,,,Dec 13,Dec 14,Dec 15
MaxValue,MaxValue,,,,5,4,3
